"","Population","Lower2s0025limit","Upper2s0025limit","Lower3s0001limit","Upper3s0001limit","Baseline","Row.number"
"68",0,-3.08017331605015e-05,-2.93399050832477e-05,-3.12232337620344e-05,-2.89184044675039e-05,-3.00708191360854e-05,0
"69",0,-3.07645876915785e-05,-2.93770505948032e-05,-3.11646687549683e-05,-2.89769695314135e-05,-3.00708191360854e-05,0
"70",0,-3.07293503425399e-05,-2.94122879438419e-05,-3.11091105373862e-05,-2.90325277489956e-05,-3.00708191360854e-05,0
"71",0,-3.06958667550816e-05,-2.9445771545511e-05,-3.10563197274405e-05,-2.90853185305195e-05,-3.00708191360854e-05,0
"72",0,-3.06641038747557e-05,-2.94775343832043e-05,-3.10062366821739e-05,-2.91354015757861e-05,-3.00708191360854e-05,0
"73",0,-3.06339792501831e-05,-2.95076590219878e-05,-3.0958743195697e-05,-2.9182895062263e-05,-3.00708191360854e-05,0
"74",0,-3.06053732117562e-05,-2.9536265031993e-05,-3.09136390086451e-05,-2.92279992777367e-05,-3.00708191360854e-05,0
"75",0,-3.05782053118264e-05,-2.95634329603445e-05,-3.08708035134941e-05,-2.92708348013093e-05,-3.00708191360854e-05,0
"76",0,-3.05524285266756e-05,-2.95892097597061e-05,-3.08301618332507e-05,-2.93114764389202e-05,-3.00708191360854e-05,0
"77",0,-3.05279634602584e-05,-2.96136748261233e-05,-3.07915883439591e-05,-2.93500499282118e-05,-3.00708191360854e-05,0
"78",0,-3.05047365856126e-05,-2.96369016581366e-05,-3.07549665592433e-05,-2.93866717413493e-05,-3.00708191360854e-05,0
"79",0,-3.04827024564247e-05,-2.9658935829957e-05,-3.07202272722407e-05,-2.94214110141411e-05,-3.00708191360854e-05,0
"80",0,-3.04617890378722e-05,-2.96798492342987e-05,-3.06872500601685e-05,-2.94543882262133e-05,-3.00708191360854e-05,0
"81",0,-3.04419292262992e-05,-2.96997090458717e-05,-3.06559413587593e-05,-2.94856969134116e-05,-3.00708191360854e-05,0
"82",0,-3.04230796217553e-05,-2.97185586362048e-05,-3.06262205498342e-05,-2.95154177081258e-05,-3.00708191360854e-05,0
"83",0,-3.04051909552072e-05,-2.97364473311745e-05,-3.05980148738172e-05,-2.95436233983537e-05,-3.00708191360854e-05,0
"84",0,-3.03882052747895e-05,-2.97534329547489e-05,-3.05712302406391e-05,-2.95704080315318e-05,-3.00708191360854e-05,0
"85",0,-3.03720786263284e-05,-2.97695596316316e-05,-3.05458051172991e-05,-2.95958331548718e-05,-3.00708191360854e-05,0
"86",0,-3.03567720294495e-05,-2.97848662853539e-05,-3.05216761518068e-05,-2.96199621203641e-05,-3.00708191360854e-05,0
"87",0,-3.03422453384883e-05,-2.97993929336826e-05,-3.0498774108878e-05,-2.96428641632929e-05,-3.00708191360854e-05,0
"88",0,-3.03284562903627e-05,-2.98131819818082e-05,-3.047703343384e-05,-2.96646048525417e-05,-3.00708191360854e-05,0
"89",0,-3.03153729532823e-05,-2.98262653330994e-05,-3.04564015607411e-05,-2.96852366972189e-05,-3.00708191360854e-05,0
